"","condition","ID","block","Pr_corr_sub"
"80",1,"201",10,0.925925925925926
"81",1,"205",1,0.333333333333333
"82",1,"205",2,0.666666666666667
"83",1,"205",3,0.851851851851852
"84",1,"205",4,0.925925925925926
"85",1,"205",5,0.740740740740741
"86",1,"205",6,0.888888888888889
"87",1,"205",7,0.888888888888889
"88",1,"205",8,0.777777777777778
"89",1,"205",9,0.925925925925926
"90",1,"205",10,1
"91",1,"209",1,0.592592592592593
"92",1,"209",2,0.592592592592593
"93",1,"209",3,0.666666666666667
"94",1,"209",4,0.666666666666667
"95",1,"209",5,0.740740740740741
"96",1,"209",6,0.888888888888889
"97",1,"209",7,1
"98",1,"209",8,0.962962962962963
"99",1,"209",9,0.962962962962963
"100",1,"209",10,1
"101",1,"21",1,0.444444444444444
"102",1,"21",2,0.925925925925926
"103",1,"21",3,0.740740740740741
"104",1,"21",4,0.814814814814815
"105",1,"21",5,0.851851851851852
"106",1,"21",6,0.962962962962963
"107",1,"21",7,0.925925925925926
"108",1,"21",8,0.777777777777778
"109",1,"21",9,0.925925925925926
"110",1,"21",10,0.888888888888889
"111",1,"213",1,0.592592592592593
"112",1,"213",2,0.851851851851852
"113",1,"213",3,0.962962962962963
"114",1,"213",4,1
"115",1,"213",5,0.962962962962963
"116",1,"213",6,1
"117",1,"213",7,1
"118",1,"213",8,0.925925925925926
"119",1,"213",9,0.925925925925926
"120",1,"213",10,0.925925925925926
"121",1,"217",1,0.518518518518518
"122",1,"217",2,0.703703703703704
"123",1,"217",3,0.851851851851852
"124",1,"217",4,0.814814814814815
"125",1,"217",5,0.592592592592593
"126",1,"217",6,0.777777777777778
"127",1,"217",7,0.925925925925926
"128",1,"217",8,1
"129",1,"217",9,0.962962962962963
"130",1,"217",10,0.851851851851852
"131",1,"221",1,0.62962962962963
"132",1,"221",2,0.703703703703704
"133",1,"221",3,0.851851851851852
"134",1,"221",4,0.925925925925926
"135",1,"221",5,0.962962962962963
"136",1,"221",6,0.925925925925926
"137",1,"221",7,0.814814814814815
"138",1,"221",8,0.814814814814815
"139",1,"221",9,0.925925925925926
"140",1,"221",10,0.740740740740741
"141",1,"225",1,0.555555555555556
"142",1,"225",2,0.592592592592593
"143",1,"225",3,0.592592592592593
"144",1,"225",4,0.888888888888889
"145",1,"225",5,0.777777777777778
"146",1,"225",6,0.703703703703704
"147",1,"225",7,0.777777777777778
"148",1,"225",8,0.740740740740741
"149",1,"225",9,0.888888888888889
"150",1,"225",10,0.962962962962963
"151",1,"229",1,0.592592592592593
"152",1,"229",2,0.888888888888889
"153",1,"229",3,0.962962962962963
"154",1,"229",4,0.851851851851852
"155",1,"229",5,0.851851851851852
"156",1,"229",6,1
"157",1,"229",7,1
"158",1,"229",8,0.962962962962963
"159",1,"229",9,1
"160",1,"229",10,1
"161",1,"233",1,0.333333333333333
"162",1,"233",2,0.444444444444444
"163",1,"233",3,0.666666666666667
"164",1,"233",4,0.777777777777778
"165",1,"233",5,0.962962962962963
"166",1,"233",6,0.888888888888889
"167",1,"233",7,0.851851851851852
"168",1,"233",8,0.925925925925926
"169",1,"233",9,0.925925925925926
"170",1,"233",10,0.962962962962963
"171",1,"237",1,0.851851851851852
"172",1,"237",2,0.962962962962963
"173",1,"237",3,1
"174",1,"237",4,1
"175",1,"237",5,1
"176",1,"237",6,1
"177",1,"237",7,1
